id_commande;id_client;date_commande;id_produit;quantite;prix_unitaire_applique;statut;mode_livraison;motif_annulation
CMD000001;C0070;01/01/2025;18;1;4.20;Livree;point_relais;
CMD000001;C0070;2025-01-01;29;0.5;28.00;LIVREE;point_relais;
CMD000002;C0209;2025-01-01;28;3;1,90;livrée;point_relais;
CMD000002;C0209;2025-01-01;35;4;3,90;Livree;point_relais;
CMD000003;C0048;01/01/2025;36;1;5.20;livrée;domicile;
CMD000003;C0048;2025-01-01;38;1;5.60;Livrée;domicile;
CMD000003;C0048;2025-01-01;33;2;4.20;livrée;domicile;
CMD000004;C0027;2025-01-01;20;3;8.20;Livrée;retrait_ferme;
CMD000005;C0092;2025-01-01;36;3;5,20;Livree;point_relais;
CMD000006;C0076;2025-01-01;39;3;4.90;livrée;domicile;
CMD000006;C0076;2025-01-01;32;4;2.20;Livree;domicile;
CMD000007;C0236;01/01/2025;19;1;7.50;LIVREE;domicile;
CMD000007;C0236;2025-01-01;22;3;4.80;LIVREE;domicile;
CMD000007;C0236;01/01/2025;27;3;3.40;Livree;domicile;
CMD000007;C0236;2025-01-01;20;2;8,20;Livree;domicile;
CMD000007;C0236;2025-01-01;2;0,5;2.80;Livrée;domicile;
CMD000008;C0968;02/01/2025;25;1;4.90;Livree;domicile;
CMD000009;C0093;02-01-25;8;1.5;2.60;Livree;retrait_ferme;
CMD000010;C0005;2025-01-02;32;1;2,20;livrée;Domicile;
CMD000010;C0005;2025-01-02;21;4;9.90;Livree;domicile;
CMD000011;C0193;2025-01-02;40;1;3,50;Livrée;point_relais;
CMD000011;C0193;02/01/2025;31;3;1.20;Livree;point_relais;
CMD000011;C0193;2025-01-02;33;2;4.20;Livree;point_relais;
CMD000012;C0045;2025-01-02;38;4;5,60;LIVREE;retrait_ferme;
CMD000012;C0045;2025-01-02;29;0.5;28.00;LIVREE;retrait_ferme;
CMD000013;C0204;2025-01-02;27;2;3.40;Livrée;domicile;
CMD000013;C0204;2025-01-02;32;1;2.20;livrée;Domicile;
CMD000014;C0005;2025-01-02;21;2;9.90;LIVREE;point_relais;
CMD000014;C0005;2025-01-02;2;2;2.80;Livrée;point_relais;
CMD000014;C0005;2025-01-02;24;2;5.60;Livree;point_relais;
CMD000015;C0073;02/01/2025;7;1.5;4.50;livrée;domicile;
CMD000016;C0087;2025-01-02;38;1;5,60;livrée;point_relais;
CMD000017;C0133;2025-01-02;37;2;3,10;LIVREE;domicile;
CMD000017;C0133;02/01/2025;22;4;4.80;livrée;domicile;
CMD000017;C0133;2025-01-02;29;0,2;28.00;Livree;domicile;
CMD000018;C0216;2025-01-03;24;2;5.60;LIVREE;Point_relais;
CMD000018;C0216;2025-01-03;27;2;3.40;Livrée;point_relais;
CMD000019;C0301;2025-01-03;38;1;5.60;Livree;Domicile;
CMD000019;C0301;2025-01-03;29;0.2;28,00;Livree;domicile;
CMD000019;C0301;03-01-25;40;3;3.50;Livrée;domicile;
CMD000019;C0301;2025-01-03;1;0.5;4.20;Livree;domicile;
CMD000020;C0126;2025-01-03;11;1;3,20;Livree;domicile;
CMD000020;C0126;2025-01-03;17;2;3,00;LIVREE;domicile;
CMD000020;C0126;2025-01-03;37;1;3.10;Livrée;domicile;
CMD000021;C0273;03-01-25;8;2;2.60;Livree;domicile;
CMD000021;C0273;2025-01-03;20;2;8,20;Livrée;domicile;
CMD000022;C0037;2025-01-03;31;4;1.20;LIVREE;point_relais;
CMD000022;C0037;2025-01-03;35;4;3,90;livrée;point_relais;
CMD000023;C0110;2025-01-03;21;4;9.90;Livree;point_relais;
CMD000024;C0082;03/01/2025;28;2;1.90;livrée;domicile;
CMD000024;C0082;03/01/2025;31;1;1.20;Livree;domicile;
CMD000024;C0082;2025-01-03;27;1;3.40;Livree;domicile;
CMD000024;C0082;2025-01-03;23;1;12,50;LIVREE;domicile;
CMD000024;C0082;2025-01-03;1;1,5;4.20;LIVREE;domicile;
CMD000025;C0183;03/01/2025;27;3;3.40;Livrée;retrait_ferme;
CMD000025;C0183;2025-01-03;35;1;3.90;LIVREE;Retrait_ferme;
CMD000025;C0183;2025-01-03;38;2;5.60;livrée;retrait_ferme;
CMD000025;C0183;2025-01-03;40;1;3.50;Livree;retrait_ferme;
CMD000025;C0183;03/01/2025;37;2;3,10;Livree;retrait_ferme;
CMD000025;C0183;03/01/2025;37;2;3,10;Livree;retrait_ferme;
CMD000026;C0253;2025-01-04;4;3;2.10;Livrée;domicile;
CMD000026;C0253;2025-01-04;21;1;9.90;Livree;domicile;
CMD000026;C0253;2025-01-04;13;0,5;5.40;livrée;domicile;
CMD000026;C0253;2025-01-04;20;1;8.20;LIVREE;domicile;
CMD000027;C0222;04/01/2025;35;2;3.90;Livree;domicile;
CMD000027;C0222;2025-01-04;40;1;3,50;Livrée;domicile;
CMD000027;C0222;2025-01-04;4;1;2.10;livrée;domicile;
CMD000028;C0051;2025-01-04;32;4;2,20;Livrée;domicile;
CMD000028;C0051;2025-01-04;23;1;12.50;LIVREE;domicile;
CMD000028;C0051;2025-01-04;39;1;4.90;livrée;domicile;
CMD000028;C0051;2025-01-04;40;4;3.50;LIVREE;domicile;
CMD000028;C0051;2025-01-04;14;0,5;4.90;Livree;domicile;
CMD000029;C0132;2025-01-04;2;2;2,80;livrée;point_relais;
CMD000030;C0216;2025-01-04;11;1;3,20;Livree;domicile;
CMD000031;C0199;2025-01-04;28;3;1.90;Livrée;domicile;
CMD000031;C0199;2025-01-04;38;1;5,60;livrée;domicile;
CMD000031;C0199;04/01/2025;29;0.2;28.00;Livree;domicile;
CMD000032;C0138;2025-01-04;27;2;3.40;livrée;retrait_ferme;
CMD000033;C0097;2025-01-04;15;3;5.80;LIVREE;domicile;
CMD000034;C0185;04/01/2025;3;1,5;3.60;Livree;domicile;
CMD000034;C0185;2025-01-04;36;2;5,20;Livrée;domicile;
CMD000034;C0185;2025-01-04;36;2;5,20;Livrée;domicile;
CMD000034;C0185;2025-01-04;7;1;4.50;Livree;domicile;
CMD000034;C0185;2025-01-04;17;4;3.00;LIVREE;domicile;
