date;ville;temp_max;pluie_mm
2025-01-01;Montpellier;3,4;0,0
2025-01-02;Montpellier;5,9;0,0
2025-01-03;Montpellier;11,2;4,1
2025-01-04;Montpellier;6,7;11,7
2025-01-05;Montpellier;8,6;0,2
2025-01-06;Montpellier;7,1;0,0
2025-01-07;Montpellier;7,6;9,9
2025-01-08;Montpellier;5,2;0,0
2025-01-09;Montpellier;11,1;0,0
2025-01-10;Montpellier;5,5;0,0
2025-01-11;Montpellier;10,5;0,0
2025-01-12;Montpellier;5,0;2,2
2025-01-13;Montpellier;;0,0
2025-01-14;Montpellier;8,1;0,0
2025-01-15;Montpellier;10,3;0,0
2025-01-16;Montpellier;6,8;0,0
2025-01-17;Montpellier;2,1;0,0
2025-01-18;Montpellier;4,4;0,0
2025-01-19;Montpellier;8,0;0,0
2025-01-20;Montpellier;3,8;0,0
2025-01-21;Montpellier;3,0;0,0
2025-01-22;Montpellier;5,3;0,0
2025-01-23;Montpellier;10,6;0,0
2025-01-24;Montpellier;2,5;0,0
2025-01-25;Montpellier;5,6;0,0
2025-01-26;Montpellier;6,0;0,0
2025-01-27;Montpellier;4,6;0,0
2025-01-28;Montpellier;10,1;0,0
2025-01-29;Montpellier;6,5;3,5
2025-01-30;Montpellier;11,4;0,0
2025-01-31;Montpellier;3,3;0,0
2025-02-01;Montpellier;3,4;0,0
2025-02-02;Montpellier;4,3;0,0
2025-02-03;Montpellier;7,3;0,0
2025-02-04;Montpellier;4,4;0,0
2025-02-05;Montpellier;5,6;0,0
2025-02-06;Montpellier;8,0;4,7
2025-02-07;Montpellier;9,5;0,0
2025-02-08;Montpellier;7,8;7,0
2025-02-09;Montpellier;5,4;1,2
2025-02-10;Montpellier;9,8;0,0
2025-02-11;Montpellier;11,8;0,0
2025-02-12;Montpellier;9,2;0,0
2025-02-13;Montpellier;;0,0
2025-02-14;Montpellier;12,3;0,0
2025-02-15;Montpellier;14,0;0,0
2025-02-16;Montpellier;8,5;0,0
2025-02-17;Montpellier;7,1;0,0
2025-02-18;Montpellier;3,6;0,0
2025-02-19;Montpellier;11,0;0,0
2025-02-20;Montpellier;6,7;0,0
2025-02-21;Montpellier;7,5;0,0
2025-02-22;Montpellier;7,9;0,0
2025-02-23;Montpellier;5,3;0,0
2025-02-24;Montpellier;8,8;0,0
2025-02-25;Montpellier;10,1;0,0
2025-02-26;Montpellier;4,9;0,0
2025-02-27;Montpellier;9,0;0,0
2025-02-28;Montpellier;6,8;0,0
2025-03-01;Montpellier;14,0;0,0
2025-03-02;Montpellier;;0,0
2025-03-03;Montpellier;8,7;0,0
2025-03-04;Montpellier;9,5;5,8
2025-03-05;Montpellier;6,4;1,6
2025-03-06;Montpellier;6,9;14,0
2025-03-07;Montpellier;14,4;0,0
2025-03-08;Montpellier;13,6;0,0
2025-03-09;Montpellier;13,5;0,0
2025-03-10;Montpellier;9,2;0,0
2025-03-11;Montpellier;15,0;0,4
2025-03-12;Montpellier;7,6;0,0
2025-03-13;Montpellier;13,3;0,0
2025-03-14;Montpellier;10,8;0,0
2025-03-15;Montpellier;13,8;0,0
2025-03-16;Montpellier;19,4;0,2
2025-03-17;Montpellier;5,8;0,0
2025-03-18;Montpellier;13,7;0,0
2025-03-19;Montpellier;7,5;17,3
2025-03-20;Montpellier;8,0;0,0
2025-03-21;Montpellier;8,0;0,0
2025-03-22;Montpellier;11,7;14,9
2025-03-23;Montpellier;13,1;0,0
2025-03-24;Montpellier;15,0;0,0
2025-03-25;Montpellier;-999;0,0
2025-03-26;Montpellier;6,7;0,0
2025-03-27;Montpellier;11,3;0,0
2025-03-28;Montpellier;9,8;14,8
2025-03-29;Montpellier;17,1;0,0
2025-03-30;Montpellier;11,0;0,0
2025-03-31;Montpellier;14,3;0,0
2025-04-01;Montpellier;;0,0
2025-04-02;Montpellier;13,8;0,0
2025-04-03;Montpellier;-999;0,0
2025-04-04;Montpellier;13,5;0,0
2025-04-05;Montpellier;13,0;15,4
2025-04-06;Montpellier;18,7;0,0
2025-04-07;Montpellier;17,5;0,0
2025-04-08;Montpellier;14,8;1,2
2025-04-09;Montpellier;13,4;5,5
2025-04-10;Montpellier;13,9;0,0
2025-04-11;Montpellier;17,4;0,0
2025-04-12;Montpellier;15,3;0,0
2025-04-13;Montpellier;10,1;9,3
2025-04-14;Montpellier;19,3;0,0
2025-04-15;Montpellier;16,4;0,0
2025-04-16;Montpellier;19,4;8,4
2025-04-17;Montpellier;15,9;0,0
2025-04-18;Montpellier;14,7;0,0
2025-04-19;Montpellier;15,3;0,0
2025-04-20;Montpellier;20,1;2,8
2025-04-21;Montpellier;19,9;
2025-04-22;Montpellier;17,8;0,0
2025-04-23;Montpellier;25,5;0,0
2025-04-24;Montpellier;18,5;0,0
2025-04-25;Montpellier;19,0;0,0
2025-04-26;Montpellier;19,4;0,0
2025-04-27;Montpellier;19,5;11,2
2025-04-28;Montpellier;17,9;0,0
2025-04-29;Montpellier;19,4;0,0
2025-04-30;Montpellier;19,9;3,6
2025-05-01;Montpellier;17,0;0,0
2025-05-02;Montpellier;23,4;16,6
2025-05-03;Montpellier;19,9;0,0
2025-05-04;Montpellier;21,4;0,0
2025-05-05;Montpellier;23,8;0,0
2025-05-06;Montpellier;19,3;0,0
2025-05-07;Montpellier;16,0;0,0
2025-05-08;Montpellier;21,7;0,0
2025-05-09;Montpellier;15,5;3,3
2025-05-10;Montpellier;15,0;0,0
2025-05-11;Montpellier;23,6;5,6
2025-05-12;Montpellier;24,3;0,0
2025-05-13;Montpellier;19,7;0,0
2025-05-14;Montpellier;20,1;0,0
2025-05-15;Montpellier;22,2;12,6
2025-05-16;Montpellier;22,4;8,3
2025-05-17;Montpellier;19,4;0,0
2025-05-18;Montpellier;25,0;0,0
2025-05-19;Montpellier;24,3;0,0
2025-05-20;Montpellier;17,8;0,0
2025-05-21;Montpellier;20,8;0,0
2025-05-22;Montpellier;20,1;0,0
2025-05-23;Montpellier;23,4;0,0
2025-05-24;Montpellier;22,0;0,0
2025-05-25;Montpellier;21,8;0,0
2025-05-26;Montpellier;24,2;0,0
2025-05-27;Montpellier;20,6;0,0
2025-05-28;Montpellier;19,4;0,0
2025-05-29;Montpellier;24,9;5,0
2025-05-30;Montpellier;28,0;27,8
2025-05-31;Montpellier;23,3;0,0
2025-06-01;Montpellier;21,0;0,0
2025-06-02;Montpellier;27,9;0,0
2025-06-03;Montpellier;29,2;0,0
2025-06-04;Montpellier;22,3;0,0
2025-06-05;Montpellier;24,9;0,0
2025-06-06;Montpellier;24,3;7,1
2025-06-07;Montpellier;22,4;0,0
2025-06-08;Montpellier;25,2;0,0
2025-06-09;Montpellier;24,9;0,0
2025-06-10;Montpellier;25,6;0,0
2025-06-11;Montpellier;25,9;0,0
2025-06-12;Montpellier;23,4;0,0
2025-06-13;Montpellier;25,3;3,7
2025-06-14;Montpellier;28,9;0,0
2025-06-15;Montpellier;26,6;0,0
2025-06-16;Montpellier;24,2;0,0
2025-06-17;Montpellier;28,4;0,0
2025-06-18;Montpellier;29,8;0,0
2025-06-19;Montpellier;21,8;0,0
2025-06-20;Montpellier;-999;0,0
2025-06-21;Montpellier;27,4;0,0
2025-06-22;Montpellier;26,6;0,0
2025-06-23;Montpellier;25,5;0,0
2025-06-24;Montpellier;26,7;13,5
2025-06-25;Montpellier;25,9;0,0
2025-06-26;Montpellier;26,8;8,4
2025-06-27;Montpellier;23,5;0,0
2025-06-28;Montpellier;22,9;0,0
2025-06-29;Montpellier;25,7;9,0
2025-06-30;Montpellier;22,5;2,8
2025-07-01;Montpellier;26,0;0,0
2025-07-02;Montpellier;24,8;0,0
2025-07-03;Montpellier;25,7;0,0
2025-07-04;Montpellier;22,6;0,0
2025-07-05;Montpellier;32,3;4,3
2025-07-06;Montpellier;27,3;0,0
2025-07-07;Montpellier;27,5;0,0
2025-07-08;Montpellier;28,0;0,0
2025-07-09;Montpellier;20,0;0,0
2025-07-10;Montpellier;25,2;0,0
2025-07-11;Montpellier;23,8;0,0
2025-07-12;Montpellier;24,8;0,4
2025-07-13;Montpellier;26,3;0,0
2025-07-14;Montpellier;26,5;0,0
2025-07-15;Montpellier;26,3;0,0
2025-07-16;Montpellier;29,1;0,0
2025-07-17;Montpellier;28,0;0,0
2025-07-18;Montpellier;29,7;0,0
2025-07-19;Montpellier;27,8;0,0
2025-07-20;Montpellier;28,5;0,0
2025-07-21;Montpellier;28,7;0,0
2025-07-22;Montpellier;23,8;0,0
2025-07-23;Montpellier;29,0;0,0
2025-07-24;Montpellier;25,1;0,0
2025-07-25;Montpellier;26,6;0,0
2025-07-26;Montpellier;23,7;0,0
2025-07-27;Montpellier;25,2;0,0
2025-07-28;Montpellier;;5,1
2025-07-29;Montpellier;29,2;0,0
2025-07-30;Montpellier;25,2;9,6
2025-07-31;Montpellier;24,3;0,0
2025-08-01;Montpellier;24,6;0,3
2025-08-02;Montpellier;24,6;0,0
2025-08-03;Montpellier;29,1;7,0
2025-08-04;Montpellier;;0,0
2025-08-05;Montpellier;29,6;0,0
2025-08-06;Montpellier;24,3;0,0
2025-08-07;Montpellier;26,0;0,0
2025-08-08;Montpellier;28,8;2,7
2025-08-09;Montpellier;23,1;0,0
2025-08-10;Montpellier;23,7;0,0
2025-08-11;Montpellier;28,0;0,0
2025-08-12;Montpellier;25,5;0,0
2025-08-13;Montpellier;25,1;0,0
2025-08-14;Montpellier;23,6;0,0
2025-08-15;Montpellier;30,9;13,6
2025-08-16;Montpellier;28,3;11,4
2025-08-17;Montpellier;32,1;0,0
2025-08-18;Montpellier;21,9;0,0
2025-08-19;Montpellier;27,3;0,0
2025-08-20;Montpellier;31,5;1,0
2025-08-21;Montpellier;27,5;6,5
2025-08-22;Montpellier;27,2;1,9
2025-08-23;Montpellier;-999;0,0
2025-08-24;Montpellier;24,2;2,2
2025-08-25;Montpellier;22,4;3,6
2025-08-26;Montpellier;25,3;0,0
2025-08-27;Montpellier;25,7;
2025-08-28;Montpellier;28,0;12,9
2025-08-29;Montpellier;24,5;0,0
2025-08-30;Montpellier;21,8;0,0
2025-08-31;Montpellier;24,3;0,0
2025-09-01;Montpellier;;0,0
2025-09-02;Montpellier;22,4;0,0
2025-09-03;Montpellier;25,6;1,5
2025-09-04;Montpellier;23,2;0,0
2025-09-05;Montpellier;21,0;0,0
2025-09-06;Montpellier;21,3;0,0
2025-09-07;Montpellier;21,7;0,0
2025-09-08;Montpellier;27,0;6,4
2025-09-09;Montpellier;23,8;0,0
2025-09-10;Montpellier;24,7;11,7
2025-09-11;Montpellier;23,8;0,0
2025-09-12;Montpellier;28,8;0,0
2025-09-13;Montpellier;20,2;0,0
